Account Statement for 58583511SCHW (Corp Owner) since 2/1/26 through 2/10/26

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
2/1/26,01:00:00,BAL,,Cash balance at the start of business day 01.02 CST,,,,"117,620.81"
2/2/26,01:00:00,BAL,,Cash balance at the start of business day 02.02 CST,,,,"117,620.81"
2/2/26,09:33:08,TRD,="1005298300313",SOLD -5 VERTICAL SPX 100 (Weeklys) 2 FEB 26 6870/6770 PUT @3.15 CBOE,-5.25,-3.00,"1,575.00","119,187.56"
2/2/26,09:36:18,TRD,="1005298300762",BOT +2 SPX 100 (Weeklys) 2 FEB 26 6945 CALL @15.20 CBOE,-1.14,-0.60,"-3,040.00","116,145.82"
2/2/26,09:36:23,TRD,="1005298300784",SOLD -2 SPX 100 (Weeklys) 2 FEB 26 6945 CALL @15.70 CBOE,-1.14,-0.60,"3,140.00","119,284.08"
2/2/26,09:36:40,TRD,="1005298300834",BOT +5 VERTICAL SPX 100 (Weeklys) 2 FEB 26 6870/6770 PUT @2.60 CBOE,-5.25,-3.00,"-1,300.00","117,975.83"
2/2/26,09:37:12,TRD,="1005298300936",BOT +1 SPX 100 (Weeklys) 2 FEB 26 6965 CALL @6.70 CBOE,-0.57,-0.30,-670.00,"117,304.96"
2/2/26,09:37:42,TRD,="1005298301023",SOLD -1 SPX 100 (Weeklys) 2 FEB 26 6965 CALL @6.90 CBOE,-0.57,-0.30,690.00,"117,994.09"
2/2/26,09:42:36,TRD,="1005298301569",BOT +1 SPX 100 (Weeklys) 2 FEB 26 6975 CALL @3.90 CBOE,-0.57,-0.30,-390.00,"117,603.22"
2/2/26,09:45:54,TRD,="1005298301930",SOLD -1 SPX 100 (Weeklys) 2 FEB 26 6975 CALL @4.10 CBOE,-0.57,-0.30,410.00,"118,012.35"
2/2/26,13:58:08,CDB,="111475378955","Tfr OPTIMUMBANK, HASSON INVESTING -10000.0 US$",,,"-10,000.00","108,012.35"
2/3/26,01:00:00,BAL,,Cash balance at the start of business day 03.02 CST,,,,"108,012.35"
2/3/26,09:31:42,TRD,="1005311588814",BOT +300 PLTU @59.395,,,"-17,818.50","90,193.85"
2/3/26,09:31:55,TRD,="1005311588841",SOLD -50 PLTU @59.92,-0.01,,"2,996.00","93,189.84"
2/3/26,09:31:55,TRD,="1005311588841",SOLD -50 PLTU @59.89,-0.01,,"2,994.50","96,184.33"
2/3/26,09:31:55,TRD,="1005311588841",SOLD -200 PLTU @59.88,-0.04,,"11,976.00","108,160.29"
2/3/26,09:34:06,TRD,="1005311589129",BOT +1 SPX 100 (Weeklys) 3 FEB 26 6985 PUT @13.90 CBOE,-0.57,-0.30,"-1,390.00","106,769.42"
2/3/26,09:34:06,TRD,="1005311589129",BOT +1 SPX 100 (Weeklys) 3 FEB 26 6985 PUT @13.90 CBOE,-0.57,-0.30,"-1,390.00","105,378.55"
2/3/26,09:34:18,TRD,="1005311589159",SOLD -2 SPX 100 (Weeklys) 3 FEB 26 6985 PUT @14.40 CBOE,-1.14,-0.60,"2,880.00","108,256.81"
